Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
N00053B,1,07/07/2009,RWE npower,Aberthaw Power Station Biomass,Biomass (co-firing),35,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Aberthaw Power Station, The Leys, Aberthaw Barry, Vale of Glamorgan",South Glamorgan,Wales,Wales,CF62 4ZW,"302,219","166,320",Vale of Glamorgan Council,04/00580/FUL,,,,,,16/04/2004,,,,,,,03/09/2004,,,,,01/05/2006,01/05/2007
100640000,8,23/12/2003,Mr Grffiths,Newbridge Power Station,Biomass (dedicated),15,No,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Land adjacent to BSW Sawmills, Newbridge on Wye, Powys",Powys,Wales,Wales,,"302,400","256,000",Powys County Council,PR5332/02,,,,,,,23/12/2003,,,,,,,,,,,,
EN00118,32,29/06/2011,Green Renewable Energy Company,Clean Renewable Plant at Old Llynfi Power Station,Biomass (dedicated),10,No,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Old Llynfi Power Station, Aberkenfig, Bridgend",Mid Glamorgan,Wales,Wales,,"288,400","186,900",Bridgend County Borough Council,05/364/FUL,,,,,,28/03/2005,,,,,,,16/02/2006,,,,,,
EN00601,43,12/09/2011,Dingle Holdings,Kings Dock Biomass,Biomass (dedicated),49.9,No,,,,n/a,n/a,n/a,n/a,Appeal Refused,Application Refused,"Kings Dock, Swansea",West Glamorgan,Wales,Wales,SA1 8QT,"267,902","192,506",City and County Council of Swansea,2007/2684,APP/B6855/A/09/2111230,,,,,27/11/2007,,06/04/2009,,,14/12/2010,,,,,,,,
N00052B,57,29/06/2011,"Western Bioenergy, affiliate of Western Log",Western Wood Energy Plant,Biomass (dedicated),14,Yes,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Longlands Lane, Margam, nr junction 38 of the M4.",West Glamorgan,Wales,Wales,,"277,930","186,880",Neath Port Talbot County Borough Council,P2004/0035,,,,,,09/01/2004,,,,,,,27/04/2004,,,,,01/11/2006,01/11/2009
AA194,109,24/02/2014,Bioflame,Cardiff Dock Heat and Power,Biomass (dedicated),2.5,Yes,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Cold Stores Road, Queen Alexandra Dock",South Glamorgan,Wales,Wales,,"320,241","174,279",Cardiff Council,08/02653/C,,,,,,04/12/2008,,,,,,,06/02/2009,,,,,,
AA379,113,27/01/2017,Glennmont Partners,Margam Green Energy Plant,Biomass (dedicated),40,No,,,,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Longlands Lane, Margam, Port Talbot",West Glamorgan,Wales,Wales,,"278,940","186,385",Neath Port Talbot County Borough Council,P2008/1409,APP/Y6930/A/10/2135473/WF,,,,,13/11/2008,,16/03/2010,,,,08/03/2011,08/03/2011,,,,,15/02/2015,
AA789,120,26/04/2017,Enviroparks Operations,Enviroparks Hirwaun Generation Site,Advanced Conversion Technologies,20,No,,,11,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Fifth Avenue, Hirwaun Industrial Estate, Hirwaun, Aberdare, Mid-Glamorgan ",Powys,Wales,Wales,CF44 9YN,"293,857","206,832",Brecon Beacons National Park Authority,08/02488/FUL,,,,,,19/12/2008,,,,,,,21/12/2010,,,,,18/02/2016,
B0305,126,03/01/2014,Kronospan,Kronospan Biomass,Biomass (dedicated),9.1,Yes,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Holyhead Road, Chirk, Wrexham",Clwyd,Wales,Wales,LL14 5NT,"328,595","338,816",Wrexham County Borough Council,P/2012/0165,,,,,,05/03/2012,,,,,,,14/09/2012,,,,,,
EN00478,141,21/06/2017,Orthios Group ,Port Talbot Renewable Energy Plant,Biomass (dedicated),350,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,Port Talbot,West Glamorgan,Wales,Wales,,"276,305","189,045",DECC (S36),n/a,,,,,,23/10/2006,,,,,,,21/11/2007,,,,,,
AA445,159,17/07/2017,Morgan Credit Energy,Llynfi Biomass Power Station,Biomass (dedicated),25,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,4km south of Maesteg and 6km north of Bridgend,Mid Glamorgan,Wales,Wales,,"288,375","186,946",Bridgend County Borough Council,P/11/21/FUL,,,,,,14/01/2011,,,,,,,08/05/2015,,,,08/05/2020,,
B1428,169,21/02/2017,Warwick International Ltd,Warwick International Biomass CHP,Biomass (dedicated),8.5,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Coast Rd, Holywell, Mostyn ",Clwyd,Wales,Wales,CH8 9HE,"316,158","380,495",Flintshire County Council,51924,,,,,,01/04/2014,,,,,,,28/07/2014,,,,,,
AA041,170,28/01/2015,Dow Corning,Barry Docks (Resubmission),Biomass (dedicated),9,No,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Land off Woodham Road, Barry",South Glamorgan,Wales,Wales,,"312,625","167,514",Vale of Glamorgan Council,2010/00240/FUL - 2008/01203/ful,APP/Z6950/A/09/2114605,,,,,08/09/2008,,31/07/2009,08/01/2010,,,02/07/2010,02/07/2010,,,,,,
B0015,181,24/06/2016,Welsh Power/ Pwer Cymru (Carron Energy),Nevis Power Station,Biomass (dedicated),49.9,No,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"South Dock, Newport, Gwent",Gwent,Wales,Wales,NP20,"331,387","184,150",Newport City Council,08/1257,,,,,,30/09/2008,,,,,,,07/01/2009,,,,,,
B0717,188,21/06/2017,Renewables Developments Wales,Trecwn Biomass Plant,Biomass (dedicated),25,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,former Royal Naval Armament Depot in Trecwn,Dyfed,Wales,Wales,,"197,995","232,045",Pembrokeshire County Council,14/0300/PA,,,,,,01/07/2014,,,,,,,14/04/2015,,,,14/04/2020,,
A0218,191,21/06/2017,Orthios Group ,Anglesey Biomass Power Station,Biomass (dedicated),299,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Anglesey Aluminium Metal Renewables Ltd, Penrhos Works, Near Holyhead, Anglesey",Gwynedd,Wales,Wales,,"225,594","381,320",DECC (S36),S36,,,,,,20/10/2009,,,,,,,16/09/2011,,,,,,
B0147,252,28/01/2013,Waste Recycling Group,PwllfaWatkin AD Plant (Waste AD),Anaerobic Digestion,2.3,No,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Pwllfawatkin/Abernant Colliery, Pontardawe",West Glamorgan,Wales,Wales,,"269,721","208,068",Neath Port Talbot County Borough Council,P2011/1063,,,,,,11/04/2012,10/09/2012,,,,,,,,,,,,
C1236,255,22/09/2016,Kelda Organic Energy,Cardiff Waste Water Treatment Works (Waste AD),Anaerobic Digestion,1.5,No,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Cardiff Waste Water Treatment Works, Tide Fields Road, East Moors, Cardiff",South Glamorgan,Wales,Wales,CF14 2RX,"321,166","175,969",Cardiff Council,13/00686/DCO,,,,,,16/04/2013,,,,,,,17/07/2013,,,,,,
C1960,261,03/05/2017,Ancala Bioenergy (formerly Biogen),Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,1,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Bryn Pica Landfill and Recycling, Merthyr Road, Llwdcoed, Aberdare",Mid Glamorgan,Wales,Wales,CF44 0BX,"300,938","205,377",Rhondda Cynon Taff County Borough Council,13/0880/10,,,,,,23/08/2013,,,,,,,07/10/2013,,,,,01/04/2014,15/09/2015
AA733,276,26/01/2017,Vale Europe,Clydach Refinery,Advanced Conversion Technologies,10.3,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Clydach Refinery, Ynys Penllwch Road, Clydach, Swansea ",Swansea,Wales,Wales,SA6 5QR,"269,551","201,355",City and County Council of Swansea,2012/0452,,,,,,27/03/2012,,,,,,,09/10/2012,,,,,,
B0317,284,04/12/2013,Shanks Group,New Inn AD (Waste AD),Anaerobic Digestion,2.4,No,,,,n/a,n/a,n/a,n/a,Planning Permission Refused,Application Refused,"Pont-y-felin Industrial Estate, New Road, Panteg, Pontypool",Gwent,Wales,Wales,NP4 0SH,"330,110","198,710",Torfaen County Borough Council,12/P/00100,,,,,,28/02/2012,,16/04/2013,,,,,,,,,,,
B0564,318,03/05/2017,Ancala Bioenergy (formerly Biogen),Waen Biogas (Waste AD),Anaerobic Digestion,1,Yes,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Former Abattoir, Holywell Road, Rhuallt, St Asaph, Denbighshire, LL17 0DS",Clwyd,Wales,Wales,,"304,959","374,970",Denbighshire County Council,47/2012/1120,,,,,,20/08/2012,,,,,,,21/11/2012,,,,,01/06/2013,04/08/2014
C2705,341,04/03/2016,Clean Power Properties & David Currie,New Lodge Farm - AD,Anaerobic Digestion,3,No,,,,n/a,n/a,n/a,n/a,Planning Permission Refused,Application Refused,"New Lodge Farm, Pontarulais Road, Cwmgwili, Llanelli",Dyfed,Wales,Wales,SA14 6PW,"257,192","209,823",Carmarthenshire County Council,S/29559,,,,,,05/02/2014,,05/02/2016,,,,,,,,,,,
AA695,363,23/03/2017,Green Energy (South Wales),Maesgwyn Anaerobic Digestion Facility (Waste AD),Anaerobic Digestion,1,No,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,Former Coal Stocking Ground Maesgwyn Glynneath,West Glamorgan,Wales,Wales,,"286,587","208,584",Neath Port Talbot County Borough Council,P2012/0092,,,,,,20/02/2012,,,,,,,30/07/2014,,,,30/07/2019,,
10003H3,415,15/07/2009,Dwr Cymru Welsh Water,Llyn Brianne Dam,Small Hydro,4.4,n/a,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Llyn Brianne Hydro Electric Power StationLand adjacent to existing Regulator HouseLlyn Brianne DamDyfed",Dyfed,Wales,Wales,,"278,920","248,360",Ceredigion County Council,,,,,,,08/02/1994,,,,,,,27/05/1994,,,,,,01/02/1997
10004H3,416,08/03/2010,Dwr Cymru Welsh Water,Elan Valley Hydro Scheme,Small Hydro,2.9,n/a,,,,n/a,n/a,n/a,n/a,Operational,Operational,Elan Valley Reservoir Near Rhayader Powys,Powys,Wales,Wales,,"290,000","267,500",Powys County Council,,,,,,,16/02/1994,,,,,,,30/05/1996,,,,,,01/05/1997
C2077,436,29/05/2015,RWE,Conwy Falls,Large Hydro,5,n/a,,,,n/a,n/a,n/a,n/a,Planning Permission Refused,Application Refused,Betws-y-Coed,Gwynedd,Wales,Wales,,"279,800","354,500",Snowdonia National Park Authority,NP4/26/323,,,,,,23/04/2015,,08/03/2016,,,,,,,,,,,
04002L5,543,15/07/2009,Waste Recycling Group,Pen y Bont,Landfill Gas,2.3,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Chirk, Wrexham, Clwyd",Clwyd,Wales,Wales,,"329,200","341,600",Wrexham County Borough Council,P20020261,,,,,,12/03/2002,,,,,,,08/07/2002,,,,,,02/01/2003
04003L5,544,15/07/2009,Waste Recycling Group,Ruabon,Landfill Gas,2.1,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Gardden Lodge Landfill Site, Tatham Road, Ruabon, Wrexham, Clwyd",Clwyd,Wales,Wales,,"330,000","345,000",Wrexham County Borough Council,,,,,,,29/11/1999,,05/12/2000,,,,,,,,,,,15/07/2001
04028L4,552,15/07/2009,Waste Recycling Group,Llandulas Landfill Scheme,Landfill Gas,2.9,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Llandulas, Abergele, Clwyd",Clwyd,Wales,Wales,LL22 8H,"291,000","378,500",Conwy County Borough Council,,,,,,,14/11/1997,,,,,,,19/03/1998,,,,,,19/07/1999
10015L4,601,15/07/2009,NOVERA,Silent Valley Landfill Scheme,Landfill Gas,2.7,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Silent Valley Landfill Site, Waunlwyd Ebbw Vale",Gwent,Wales,Wales,,"318,500","207,000",Blaenau Gwent County Borough Council,,,,,,,08/03/1994,,,,,,,14/04/1994,,,,,,11/03/2006
10028L5,602,04/10/2004,Neath Port Talbot Waste Management Co Ltd,Briton Ferry,Landfill Gas,2,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Giants Grave Road, Briton Ferry, Neath, West Glamorgan",West Glamorgan,Wales,Wales,,"273,400","195,300",Neath Port Talbot County Borough Council,961021,,,,,,18/04/1996,,,,,,,05/06/1996,,,,,,01/09/2004
10032L5,603,30/06/2009,,Withyhedge Generation Plant,Landfill Gas,2.4,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Bowling Farm, Rudbaxton, Haverfordwest, Pembroke, Dyfed",Dyfed,Wales,Wales,,"196,800","221,800",Pembrokeshire County Council,Possibly 99/718,,,,,,06/12/1999,,,,,,,07/03/2000,,,,,01/05/2006,01/09/2007
10035L3,604,09/12/2003,Renewable Power Generation Ltd,Tythegston Landfill Site,Landfill Gas,1.2,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Tythegston Landfill SiteTythegston Mid Glamorgan",Mid Glamorgan,Wales,Wales,,"285,100","178,800",Bridgend County Borough Council,,,,,,,01/07/1997,,,,,,,04/09/1997,,,,,,01/10/1998
10044L5,605,15/07/2009,Natural Power,Briton / Neath,Landfill Gas,2.2,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Neath Landfill, Giant Grave Road, West Glamorgan",West Glamorgan,Wales,Wales,,"273,300","195,400",Neath Port Talbot County Borough Council,,,,,,,26/04/2000,,,,,,,06/06/2000,,,,,,01/06/2004
10050L4,606,15/07/2009,South Wales Power Ltd,Lamby Way Landfill Site,Landfill Gas,4,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,Lamby Way  Cardiff,South Glamorgan,Wales,Wales,,"322,200","178,300",Cardiff Council,,,,,,,12/08/1997,,,,,,,03/10/1998,,,,,,27/11/1998
10053L4,607,15/07/2009,NOVERA,Nant y Caws Landfill Site,Landfill Gas,1.4,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Nant y Caws Landfill Site, Carmarthenshire",Dyfed,Wales,Wales,,"247,200","217,700",Carmarthenshire County Council,,,,,,,27/05/1999,,,,,,,15/09/1999,,,,,,01/12/2001
N00053L,665,30/04/2010,NOVERA,Brynpica Landfill Site,Landfill Gas,2.7,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,Brynpica Landfill Site,Mid Glamorgan,Wales,Wales,,"297,500","196,500",Rhondda Cynon Taff County Borough Council,03/0026,,,,,,09/01/2003,,,,,,,20/03/2003,,,,,,01/08/2003
10052L4,756,15/07/2009,Renewable Power Systems,Docksway Landfill Scheme,Landfill Gas,2,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,Newport,Gwent,Wales,Wales,,"330,500","185,300",Newport City Council,99/0337,,,,,,23/03/1999,,,,,,,19/05/1999,,,,,,30/03/2000
04082L4,766,03/04/2014,Waste Recycling Group,Dark Lane (Astbury) Landfill Scheme,Landfill Gas,2,No,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Astbury QuarryRackery LaneLlayWrexham",Clwyd,Wales,Wales,,"333,500","356,500",Wrexham County Borough Council,P/2005/0409,,,,,,15/04/2005,,,,,,,04/07/2005,,,,,,
10037L5,768,18/05/2017,Infinis/Novera Energy (TREHIR DEVELOPMENT COMPANY LTD),Trehir Generation Project,Landfill Gas,1.3,No,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Caerphilly, Mid Glamorgan",Mid Glamorgan,Wales,Wales,,"315,500","189,700",Caerphilly County Borough Council,10/0213/FULL,,,,,,24/03/2010,,,,,,,19/05/2010,,,,,,
10046L5,769,10/01/2005,Biffa,Trecatti,Landfill Gas,7,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Fochriw Road, Nr Merthyr Tydfil, Mid Glamorgan",Mid Glamorgan,Wales,Wales,,"311,626","205,713",Caerphilly County Borough Council,,,,,,,20/05/1997,,,,,,,24/07/1997,,,,,,30/07/2002
N00152L,802,15/07/2009,Waste Recycling Group,PwllfaWatkin Landfill Gas Site,Landfill Gas,3.2,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Pwllfawatkin Landfill SiteRhy Dy FroPontardaweSwanseaWest GlamorganSA8 4RX",West Glamorgan,Wales,Wales,,"271,645","205,725",Neath Port Talbot County Borough Council,P/05/213,,,,,,26/01/2005,,,,,,,11/08/2005,,,,,,01/11/2005
10071M3,838,31/10/2011,Covanta,Brig y Cwm,EfW Incineration,77,No,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Merthyr Tydfil TrelewisMid Glamorgan",Mid Glamorgan,Wales,Wales,,"310,300","199,500",The Planning Inspectorate - National Infrastructure,EN010004,,,,,,26/01/2011,24/10/2011,,,,,,,,,,,,
A0159,848,25/11/2014,Viridor,Trident Park,EfW Incineration,30,No,,,,n/a,n/a,n/a,n/a,Appeal Withdrawn,Application Refused,"Trident Park, Rumney, Cardiff, South Glamorgan",South Glamorgan,Wales,Wales,CF3,"323,014","180,704",Cardiff Council,08/02616/E,APP/Z6815/A/09/2113747/WF,,,,,27/11/2008,,09/07/2009,24/11/2009,01/01/2010,,,,,,,,,
AA758,855,06/06/2013,Veolia,Llanwern Steelworks Energy Recovery Facility,EfW Incineration,19,Yes,,,,n/a,n/a,n/a,n/a,Appeal Withdrawn,Application Refused,"Queensway, Llanwern, Newport, Gwent",Gwent,Wales,Wales,,"338,108","185,767",Newport City Council,11/1303,N/A,,,,,22/03/2012,,25/07/2012,,20/03/2013,,,,,,,,,
N00051M,867,26/07/2005,HLC Projects Ltd / Compact Power,Oak Road,EfW Incineration,3.7,No,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Oak RoadWrexham Industrial EstateWrexham",Clwyd,Wales,Wales,,"335,000","350,000",Wrexham County Borough Council,P/2003/0547,,,,,,,26/07/2005,,,,,,,,,,,,
N00053M,868,02/12/2014,HLC Projects Ltd / Compact Power,Bryn Lane Recycling,EfW Incineration,5.2,No,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,Bryn Lane Wrexham,Clwyd,Wales,Wales,,"338,991","349,994",Wrexham County Borough Council,P/2005/0334,,,,,,24/03/2005,25/10/2005,,,,,,,,,,,,
AA741,922,07/04/2015,Viridor,Trident Park,EfW Incineration,30,Yes,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Land at Trident Park, Glass Avenue, Cardiff",South Glamorgan,Wales,Wales,CF24 5EN,"320,179","175,481",Cardiff Council,10/00149/E,,,,,,01/02/2010,,,,,,,29/06/2010,,,,,30/07/2012,10/03/2015
AA246,949,20/02/2017,Tata Steel (formerly Corus UK),Shotton Works CHP,EfW Incineration,12,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Expired,Planning Permission Expired,"Corus, Shotton Works, Weighbridge Road, Deeside Industrial Park, Deeside, CH5 2NH",Clwyd,Wales,Wales,,"329,786","370,622",Flintshire County Council,46316,,,,,,18/05/2009,,,,,,,20/01/2010,,,,20/01/2015,,
B0568,966,09/01/2015,E R I Neath Port Talbot,Crymlyn Burrows EfW Incinerator,EfW Incineration,2.5,No,,,,n/a,n/a,n/a,n/a,Decommissioned,Decommissioned,"The Former Freightliner Depot, Jersey Marine, Crymlyn Burrows, Swansea",West Glamorgan,Wales,Wales,SA1 8PZ,"269,849","193,362",Neath Port Talbot County Borough Council,P1998/1234,,,,,,21/10/1998,,,,,,,23/04/1999,,,,,30/09/2000,01/01/2002
C2704,996,04/03/2016,Clean Power Properties & David Currie,New Lodge Farm - ACT,Advanced Conversion Technologies,12,No,,,,n/a,n/a,n/a,n/a,Planning Permission Refused,Application Refused,,Dyfed,Wales,Wales,SA14 6PW,"257,192","209,823",Carmarthenshire County Council,S/29559,,,,,,05/02/2014,,05/02/2016,,,,,,,,,,,
B1315,1001,16/12/2016,Wheelabrator,Parc Adfer EfW,EfW Incineration,16,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Shotton Works, Deeside Industrial Park, Deeside",Clwyd,Wales,Wales,CH5 2NH,"331,063","371,586",Flintshire County Council,52626,,,,,,22/09/2014,,,,,,,09/06/2015,,,,09/06/2020,,
AA412,1055,24/08/2011,Mr G Peters ,Rhosygilwen Solar Farm,Solar Photovoltaics,1,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Rhoshill, Cardigan",Dyfed,Wales,Wales,SA43 2TW,"220,298","240,670",Pembrokeshire County Council,10/0750/PA,,,,,,23/11/2010,,,,,,,06/01/2011,,,,,,09/07/2011
AA528,1056,29/05/2012,m03 Power,Llancayo Solar Farm,Solar Photovoltaics,3.9,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Llancayo Farm, Llancayo, Usk, Gwent",Gwent,Wales,Wales,NP15 1HY,"336,790","203,067",Monmouthshire County Council,DC/2011/00196,,,,,,16/04/2011,,,,,,,03/06/2011,,,,,,01/07/2011
IF1063,1161,04/06/2013,Mr Martyn Llewelyn,Ffos Las Racecourse,Solar Photovoltaics,5.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Trimsaran, Kidwelly, Carmarthenshire",Dyfed,Wales,Wales,SA17 4DE,"245,478","205,296",Carmarthenshire County Council,S/24039,,,,,,22/11/2010,,,,,,,22/04/2011,,,,,,30/06/2012
IF1160,1221,24/07/2017,Solar IQ,Cwm Nant Gwyn,Solar Photovoltaics,2.5,n/a,,,,n/a,n/a,n/a,,Abandoned,Abandoned,"Cegn Ydfa Coytrahen, Bridgend",Mid Glamorgan,Wales,Wales,CF32 0EG,"287,395","187,266",Bridgend County Borough Council,P/12/887/FUL,,,,,,19/12/2012,,,,,,,13/02/2013,,,,,,
AA991,1244,29/09/2015,Vogt Solar,West Farm (Solar),Solar Photovoltaics,7.7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Cosheston, Pembroke Dock",Dyfed,Wales,Wales,SA72 4UN,"199,608","203,981",Pembrokeshire County Council,12/0050/PA,,,,,,01/05/2012,,,,,,,28/11/2012,,,,,,28/03/2013
C2706,1286,28/09/2015,Clean Power Properties & David Currie,New Lodge Farm - Solar,Solar Photovoltaics,3,n/a,,,,n/a,n/a,n/a,,Planning Permission Refused,Application Refused,,Dyfed,Wales,Wales,,"257,192","209,823",Carmarthenshire County Council,S/29559,,,,,,05/02/2014,,05/02/2016,,,,,,,,,,,
B1296,1327,11/08/2016,Juwi Renewable Energies,Blaenporth Solar Farm,Solar Photovoltaics,7,n/a,,,,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Blaenporth, Cardigan",Dyfed,Wales,Wales,,"226,464","248,292",Ceredigion County Council,A140370,,,,,,22/05/2014,,,,,,,03/09/2014,,,,03/09/2017,,
C1421,1330,30/04/2014,Wessex Solar Energy,Cefn Betingau Farm,Solar Photovoltaics,9,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land at Cefn Betingau Farm, Morriston, Swansea ",West Glamorgan,Wales,Wales,SA6 6NX,"266,050","212,400",City and County Council of Swansea,2013/0865,,,,,,10/06/2013,,,,,,,28/08/2013,,,,,,31/03/2014
C1060,1356,26/03/2013,Lightsource Renewable Energy,Pont Andrew Solar Farm,Solar Photovoltaics,1.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"LAND AT FORMER CYNHEIDRE SHAFTS 3 & 4, CYNHEIDRE, LLANELLI",Dyfed,Wales,Wales,,"252,617","210,675",Carmarthenshire County Council,S/24069,,,,,,29/11/2010,,,,,,,22/04/2011,,,,,,31/07/2012
AA835,1388,14/06/2013,AEE Renewables,Jordanston Solar Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"St Florence, Tenby, Dyfed",Dyfed,Wales,Wales,SA70 8NQ,"206,785","201,103",Pembrokeshire County Council,12/0252/PA,,,,,,28/06/2012,,,,,,,26/09/2012,,,,,,28/03/2013
C2963,1503,18/05/2015,PS Renewables,Redcourt Farm,Solar Photovoltaics,3.3,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Redcourt Farm, Llysonnen Road, Carmarthen, Dyfed",Dyfed,Wales,Wales,SA33 5DR,"237,904","219,365",Carmarthenshire County Council,W/30060,,,,,,01/05/2014,,,,,,,07/10/2014,,,,07/10/2019,15/01/2015,30/03/2015
C2851,1512,01/11/2016,Solar Power Parks,Tyn y Pant,Solar Photovoltaics,1.6,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Refused,Application Refused,"Tyn Y Pant Farm, Caehopkin, Abercrave, Swansea",Powys,Wales,Wales,SA9 1UE,"282,906","212,243",Powys County Council,P/2015/1013,,,,,,03/12/2015,,18/10/2016,,,,,,,,,,,
C2920,1520,05/01/2016,Wrexham County Borough Council,Bronwylfa Reservoir,Solar Photovoltaics,3,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"E/o Bronwylfa Reservoir, Aberoer Road, Aberoer, Wrexham, Clwyd, LL14 4LG",Clwyd,Wales,Wales,,"329,049","348,801",Wrexham County Borough Council,P/2014/0263,,,,,,11/04/2014,,,,,,,18/07/2014,,,,18/07/2019,01/01/2015,15/06/2015
C2922,1521,18/12/2015,Sybac Solar International GmbH ,Land At Court Farm,Solar Photovoltaics,2.2,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Court Farm, Treoes, Bridgend, Mid Glamorgan",Vale of Glamorgan,Wales,Wales,CF35 5DD,"294,767","178,755",Vale of Glamorgan Council,2015/00026/FUL,,,,,,21/01/2015,,,,,,,05/06/2015,,,,05/06/2020,15/11/2015,16/03/2016
AA320,1568,22/12/2014,Western Solar,Rhondda Valley Solar Farm,Solar Photovoltaics,4.8,n/a,,,,n/a,n/a,n/a,,Planning Application Withdrawn,Application Withdrawn,"Adjacent to the Rhondda Golf Club, Trealaw",Mid Glamorgan,Wales,Wales,,"300,002","193,239",Rhondda Cynon Taff County Borough Council,11/0098/10,,,,,,03/03/2011,11/12/2014,,,,,,,,,,,,
AA367,1577,23/09/2016,Heritage Energy,Clearwell Farm - solar,Solar Photovoltaics,2,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Pentre-poeth Road, Cardiff",Gwent,Wales,Wales,,"324,580","185,321",Newport City Council,11/0339,,,,,,07/04/2011,,,,,,,20/05/2011,,,,,01/09/2014,15/12/2015
AA380,1580,14/06/2013,C. DARTNELL,Langstone Court Road Solar Farm,Solar Photovoltaics,2.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Langstone Court Road, Langstone, Newport, Gwent",Gwent,Wales,Wales,,"336,926","189,507",Newport City Council,11/0311,,,,,,25/03/2011,,,,,,,09/11/2011,,,,,,11/01/2013
